"species","species_synon","species_synon_clean","diet","mass"
"Hirundo rustica","Hirundo rustica","Hirundo rustica","Invertebrate","17.91"
"Cuculus canorus","Cuculus canorus","Cuculus canorus","Invertebrate","111.36"
"Alauda arvensis","Alauda arvensis","Alauda arvensis","PlantSeed","37.31"
"Cettia_diphone","Cettia_diphone","Cettia diphone","Invertebrate","13.31"
"Lanius_bucephalus","Lanius_bucephalus","Lanius bucephalus","Omnivore","39.42"
"Spinus tristis","Carduelis tristis","Carduelis tristis","PlantSeed","12.79"
"Setophaga ruticilla","Setophaga ruticilla","Setophaga ruticilla","Invertebrate","8.24"
"Turdus migratorius","Turdus migratorius","Turdus migratorius","Omnivore","78.5"
"Icterus galbula","Icterus galbula","Icterus galbula","Invertebrate","32.83"
"Mniotilta varia","Mniotilta varia","Mniotilta varia","Invertebrate","10.9"
"Coccyzus erythropthalmus","Coccyzus erythropthalmus","Coccyzus erythropthalmus","Invertebrate","50.9"
"Poecile atricapillus","Parus atricapillus","Parus atricapillus","Invertebrate","10.8"
"Polioptila caerulea","Polioptila caerulea","Polioptila caerulea","Invertebrate","5.8"
"Molothrus ater","Molothrus ater","Molothrus ater","PlantSeed","40.26"
"Setophaga fusca","Dendroica fusca","Dendroica fusca","Invertebrate","9.74"
"Cyanocitta cristata","Cyanocitta cristata","Cyanocitta cristata","Omnivore","88"
"Setophaga striata","Dendroica striata","Dendroica striata","Invertebrate","11.84"
"Certhia americana","Certhia americana","Certhia americana","Invertebrate","8.1"
"Toxostoma rufum","Toxostoma rufum","Toxostoma rufum","Omnivore","68.8"
"Setophaga caerulescens","Dendroica caerulescens","Dendroica caerulescens","Invertebrate","10.14"
"Setophaga virens","Dendroica virens","Dendroica virens","Invertebrate","8.69"
"Cardellina canadensis","Wilsonia canadensis","Wilsonia canadensis","Invertebrate","10.04"
"Bombycilla cedrorum","Bombycilla cedrorum","Bombycilla cedrorum","FruiNect","31.58"
"Spizella passerina","Spizella passerina","Spizella passerina","PlantSeed","12.2"
"Setophaga tigrina","Dendroica tigrina","Dendroica tigrina","Invertebrate","10.04"
"Quiscalus quiscula","Quiscalus quiscula","Quiscalus quiscula","Omnivore","105.18"
"Geothlypis trichas","Geothlypis trichas","Geothlypis trichas","Invertebrate","9.54"
"Setophaga pensylvanica","Dendroica pensylvanica","Dendroica pensylvanica","Invertebrate","9.29"
"Tyrannus tyrannus","Tyrannus tyrannus","Tyrannus tyrannus","Invertebrate","39.85"
"Sayornis phoebe","Sayornis phoebe","Sayornis phoebe","Invertebrate","19.7"
"Contopus virens","Contopus virens","Contopus virens","Invertebrate","13.9"
"Sturnus vulgaris","Sturnus vulgaris","Sturnus vulgaris","Omnivore","77.14"
"Coccothraustes vespertinus","Coccothraustes vespertinus","Coccothraustes vespertinus","PlantSeed","57.3"
"Spizella pusilla","Spizella pusilla","Spizella pusilla","PlantSeed","12.5"
"Myiarchus crinitus","Myiarchus crinitus","Myiarchus crinitus","Invertebrate","32.1"
"Regulus satrapa","Regulus satrapa","Regulus satrapa","Invertebrate","6.19"
"Catharus minimus","Catharus minimus","Catharus minimus","Invertebrate","31.58"
"Dumetella carolinensis","Dumetella carolinensis","Dumetella carolinensis","Invertebrate","35.3"
"Picoides villosus","Picoides villosus","Picoides villosus","Invertebrate","62.65"
"Catharus guttatus","Catharus guttatus","Catharus guttatus","Invertebrate","30.1"
"Troglodytes aedon","Troglodytes aedon","Troglodytes aedon","Invertebrate","10.85"
"Passerina cyanea","Passerina cyanea","Passerina cyanea","PlantSeed","14.69"
"Empidonax minimus","Empidonax minimus","Empidonax minimus","Invertebrate","10"
"Melospiza lincolnii","Melospiza lincolnii","Melospiza lincolnii","Omnivore","16.6"
"Setophaga magnolia","Dendroica magnolia","Dendroica magnolia","Invertebrate","8.14"
"Zenaida macroura","Zenaida macroura","Zenaida macroura","PlantSeed","118.93"
"Geothlypis philadelphia","Oporornis philadelphia","Oporornis philadelphia","Invertebrate","11.74"
"Setophaga coronata coronata","Dendroica coronata","Dendroica coronata","Invertebrate","11.94"
"Oreothlypis ruficapilla","Vermivora ruficapilla","Vermivora ruficapilla","Invertebrate","8.09"
"Cardinalis cardinalis","Cardinalis cardinalis","Cardinalis cardinalis","PlantSeed","42.64"
"Setophaga americana","Parula americana","Parula americana","Invertebrate","7.84"
"Parkesia noveboracensis","Seiurus noveboracensis","Seiurus noveboracensis","Invertebrate","16.3"
"Stelgidopteryx serripennis","Stelgidopteryx serripennis","Stelgidopteryx serripennis","Invertebrate","15.69"
"Seiurus aurocapilla","Seiurus aurocapilla","Seiurus aurocapilla","Invertebrate","18.8"
"Setophaga discolor","Dendroica discolor","Dendroica discolor","Invertebrate","7.64"
"Haemorhous purpureus","Carpodacus purpureus","Carpodacus purpureus","PlantSeed","23.3"
"Regulus calendula","Regulus calendula","Regulus calendula","Invertebrate","6.19"
"Vireo olivaceus","Vireo olivaceus","Vireo olivaceus","Invertebrate","16.06"
"Pipilo maculatus/erythr.","Pipilo maculatus/erythr.","Pipilo maculatus","Omnivore","39.28"
"Agelaius phoeniceus","Agelaius phoeniceus","Agelaius phoeniceus","Omnivore","50.78"
"Passerculus sandwichensis","Passerculus sandwichensis","Passerculus sandwichensis","Omnivore","19.97"
"Melospiza melodia","Melospiza melodia","Melospiza melodia","Omnivore","21.91"
"Melospiza georgiana","Melospiza georgiana","Melospiza georgiana","Omnivore","16.1"
"Catharus ustulatus","Catharus ustulatus","Catharus ustulatus","Invertebrate","30.3"
"Oreothlypis peregrina","Vermivora peregrina","Vermivora peregrina","Invertebrate","8.9"
"Tachycineta bicolor","Tachycineta bicolor","Tachycineta bicolor","Invertebrate","21.2"
"Empidonax alnorum/traillii","Empidonax alnorum/traillii","Empidonax alnorum","Invertebrate","12.7"
"Catharus fuscescens","Catharus fuscescens","Catharus fuscescens","Omnivore","31.9"
"Zonotrichia leucophrys","Zonotrichia leucophrys","Zonotrichia leucophrys","PlantSeed","28"
"Vireo griseus","Vireo griseus","Vireo griseus","Invertebrate","11.4"
"Cardellina pusilla","Wilsonia pusilla","Wilsonia pusilla","Invertebrate","6.96"
"Hylocichla mustelina","Hylocichla mustelina","Hylocichla mustelina","Invertebrate","50.09"
"Zonotrichia albicollis","Zonotrichia albicollis","Zonotrichia albicollis","PlantSeed","24.4"
"Icteria virens","Icteria virens","Icteria virens","Invertebrate","24.89"
"Empidonax flaviventris","Empidonax flaviventris","Empidonax flaviventris","Invertebrate","11.8"
"Setophaga petechia","Dendroica petechia","Dendroica petechia","Invertebrate","10.22"
"Empidonax virescens","Empidonax virescens","Empidonax virescens","Invertebrate","12.6"
"Falco sparverius","Falco sparverius","Falco sparverius","Invertebrate","114.61"
"Riparia riparia","Riparia riparia","Riparia riparia","Invertebrate","12.68"
"Setophaga castanea","Dendroica castanea","Dendroica castanea","Invertebrate","11.8"
"Colinus virginianus","Colinus virginianus","Colinus virginianus","PlantSeed","171.89"
"Vermivora cyanoptera","Vermivora pinus","Vermivora pinus","Invertebrate","8.9"
"Thryothorus ludovicianus","Thryothorus ludovicianus","Thryothorus ludovicianus","Invertebrate","18.96"
"Picoides pubescens","Picoides pubescens","Picoides pubescens","Invertebrate","25.55"
"Passerella iliaca","Passerella iliaca","Passerella iliaca","Omnivore","33.25"
"Mimus polyglottos","Mimus polyglottos","Mimus polyglottos","Omnivore","48.5"
"Icterus spurius","Icterus spurius","Icterus spurius","Omnivore","19.44"
"Pheucticus ludovicianus","Pheucticus ludovicianus","Pheucticus ludovicianus","Omnivore","42"
