"","station","year","species","first_estimate","first_lower","first_upper","last_estimate","last_lower","last_upper","count","dates"
"1","AA",1970,"AMGO",119.331795072302,109.71915933353,122.727463907417,162.090759819232,166.445755366909,161.019012339358,24,15
"2","AA",1970,"AMRE",122.280004749679,114.141454548891,127.74696459218,162.369795447702,163.513757232196,162.023545666083,78,18
"3","AA",1970,"AMRO",101.173902404723,80.0309525407484,108.242372673795,165.989434017938,174.044653498971,164.029087042062,19,16
"4","AA",1970,"BAOR",123.298922914651,118.312931523117,124.892365736509,164.615373045718,168.967979913622,163.079566418203,40,19
"5","AA",1970,"BARS",NA,NA,NA,NA,NA,NA,3,3
"6","AA",1970,"BAWW",121.033289512922,117.824776084921,121.978594892962,164.006624245431,171.577667934729,161.274057276674,35,19
"7","AA",1970,"BBCU",NA,NA,NA,NA,NA,NA,1,1
"8","AA",1970,"BCCH",103.583008570055,100.310956303742,104.876260186562,165.995931183283,170.269840711154,164.200863069143,123,38
"9","AA",1970,"BGGN",NA,NA,NA,NA,NA,NA,3,2
"10","AA",1970,"BHCO",89.1210888392275,-52.8137101320081,109.843264465167,171.026762872898,221.987630354932,163.276093549123,7,6
"11","AA",1970,"BLBW",NA,NA,NA,NA,NA,NA,2,2
"12","AA",1970,"BLJA",118.765882226107,113.805363672897,121.127491070283,167.18877526537,171.055949875973,166.276649459322,261,32
"13","AA",1970,"BLPW",135.644656015049,122.390955410315,138.95747007237,160.371519510902,164.391341707525,159.042844215188,19,7
"14","AA",1970,"BOCH",NA,NA,NA,NA,NA,NA,1,1
"15","AA",1970,"BRCR",NA,NA,NA,NA,NA,NA,4,1
"16","AA",1970,"BRTH",113.207272874202,105.784378802382,115.882132680057,160.525237854553,167.809752472906,158.10471928936,25,17
"17","AA",1970,"BTBW",94.5144751124944,-158.944773479651,108.843985890605,148.565376605502,167.662782764102,147.007922240599,6,4
"18","AA",1970,"BTNW",NA,NA,NA,NA,NA,NA,2,2
"19","AA",1970,"CAWA",127.177976590814,116.617137805117,130.55123104845,160.628314144028,163.460659864909,160.006000340977,22,14
"20","AA",1970,"CEDW",NA,NA,NA,NA,NA,NA,4,3
"21","AA",1970,"CHSP",NA,NA,NA,NA,NA,NA,1,1
"22","AA",1970,"CMWA",NA,NA,NA,NA,NA,NA,2,2
"23","AA",1970,"COGR",111.682664119036,102.530634244769,114.793878275592,163.065756561507,169.389866157758,161.066077820165,27,19
"24","AA",1970,"COYE",122.403340597036,121.272254632076,122.974555600881,166.720576345066,171.571951706779,164.570907645417,166,36
"25","AA",1970,"CSWA",NA,NA,NA,NA,NA,NA,1,1
"26","AA",1970,"EAKI",NA,NA,NA,NA,NA,NA,3,2
"27","AA",1970,"EAPH",NA,NA,NA,NA,NA,NA,3,3
"28","AA",1970,"EAWP",138.138679866975,125.989016131593,141.595081221817,164.645742086381,170.955268860076,163.046394691153,14,10
"29","AA",1970,"EUST",NA,NA,NA,NA,NA,NA,6,2
"30","AA",1970,"EVGR",NA,NA,NA,NA,NA,NA,1,1
"31","AA",1970,"FISP",NA,NA,NA,NA,NA,NA,2,2
"32","AA",1970,"GCFL",NA,NA,NA,NA,NA,NA,2,2
"33","AA",1970,"GCKI",NA,NA,NA,NA,NA,NA,1,1
"34","AA",1970,"GCTH",NA,NA,NA,NA,NA,NA,2,2
"35","AA",1970,"GRCA",121.885056257333,121.499530349094,121.997899096695,164.43278847968,165.299027931357,164.02176345416,417,40
"36","AA",1970,"HAWO",NA,NA,NA,NA,NA,NA,1,1
"37","AA",1970,"HETH",NA,NA,NA,NA,NA,NA,2,2
"38","AA",1970,"HOWR",120.401334329879,114.912945190851,121.964735950207,169.96924607292,185.749023613945,164.836457107272,24,15
"39","AA",1970,"INBU",NA,NA,NA,NA,NA,NA,1,1
"40","AA",1970,"LEFL",129.90050571038,6.32257948663241,139.493105763745,161.569527015208,199.307407291276,159.037602111101,5,5
"41","AA",1970,"LISP",NA,NA,NA,NA,NA,NA,4,4
"42","AA",1970,"MAWA",127.155347753752,122.912867028114,128.911378715059,160.319395812946,161.8983037236,160.002979004527,34,14
"43","AA",1970,"MODO",108.400804126591,16.8718435130154,120.636055170236,173.931994558811,279.352866848162,160.051726361864,6,6
"44","AA",1970,"MOWA",158.456025767875,157.631895357476,158.975341842112,166.085901376278,NA,NA,18,3
"45","AA",1970,"MYWA",NA,NA,NA,NA,NA,NA,1,1
"46","AA",1970,"NAWA",131.142636106103,117.032283407578,132.915877448816,143.804457725578,163.284465167182,141.2628060054,6,5
"47","AA",1970,"NOCA",NA,NA,NA,NA,NA,NA,1,1
"48","AA",1970,"NOPA",129.222801946058,119.727475676137,130.944993173019,165.384634332026,240.696037605865,151.782065806999,8,4
"49","AA",1970,"NOWA",112.381695103657,78.8393610686565,120.233424541709,152.875258451384,162.684251623047,151.028219485249,11,10
"50","AA",1970,"NRWS",57.5556965800576,-282.433989872196,101.911380615722,153.191010286867,176.13095072336,151.022777990391,6,4
"51","AA",1970,"OCWA",NA,NA,NA,NA,NA,NA,1,1
"52","AA",1970,"OVEN",119.649120696443,104.510878314094,122.88826705758,155.989522443041,175.831926647423,151.306284986236,10,10
"53","AA",1970,"PISI",NA,NA,NA,NA,NA,NA,2,1
"54","AA",1970,"PRAW",NA,NA,NA,NA,NA,NA,4,4
"55","AA",1970,"PUFI",86.6316871974301,30.2012946083093,104.236785472536,163.44691629524,197.609243663087,155.526655069145,10,6
"56","AA",1970,"RCKI",109.624550416423,97.1745323715951,111.899491708566,130.472888952595,150.826187566922,126.522424745504,8,6
"57","AA",1970,"REVI",150.007491334438,146.123892537634,150.970412980114,165.218584854081,181.070893141668,162.377048916138,12,6
"58","AA",1970,"RSTO",113.943819771799,112.019537779738,114.90133303342,164.052000444876,175.022819104585,159.496221458789,87,31
"59","AA",1970,"RWBL",112.029105378418,93.6355758016817,117.594399878098,164.79004208132,175.86666228327,162.066098661244,15,13
"60","AA",1970,"SAVS",NA,NA,NA,NA,NA,NA,4,4
"61","AA",1970,"SCJU",105.121931331327,60.1085080930442,108.821799163668,131.403254315091,215.766971529602,124.332419773426,5,5
"62","AA",1970,"SOSP",104.054807424581,102.846275368514,104.942989686114,166.281477633651,179.625892304405,162.29550008574,104,34
"63","AA",1970,"SOVI",NA,NA,NA,NA,NA,NA,3,3
"64","AA",1970,"SWSP",113.187707099404,102.741523139941,115.213995007613,149.551504929055,151.177216174199,149.007619301234,44,16
"65","AA",1970,"SWTH",137.145194776391,125.481919334137,139.88820699366,167.402716738777,195.743881725694,161.497373318625,10,6
"66","AA",1970,"TEWA",NA,NA,NA,NA,NA,NA,1,1
"67","AA",1970,"TRES",NA,NA,NA,NA,NA,NA,4,3
"68","AA",1970,"TRFL",143.096312253083,135.026428005571,146.101357316389,163.367257523135,164.419032504732,163.002745329437,28,9
"69","AA",1970,"UNFL",NA,NA,NA,NA,NA,NA,3,3
"70","AA",1970,"VEER",NA,NA,NA,NA,NA,NA,3,3
"71","AA",1970,"WCSP",NA,NA,NA,NA,NA,NA,1,1
"72","AA",1970,"WEVI",122.386919118478,113.967607744736,123.98605170891,180.610502075886,242.434536438709,169.965810463825,13,11
"73","AA",1970,"WIWA",127.891997146577,124.744096633618,128.943506576994,162.816251905634,167.736596577484,159.343165860352,44,15
"74","AA",1970,"WIWR",NA,NA,NA,NA,NA,NA,1,1
"75","AA",1970,"WOTH",122.321697004365,119.916188180055,122.992866779452,167.949957764137,179.853874230256,163.761493174585,33,19
"76","AA",1970,"WTSP",104.396767768781,99.3825595384255,106.696663847275,144.797162773795,149.560946638954,143.203354356248,53,22
"77","AA",1970,"YBCH",NA,NA,NA,NA,NA,NA,4,3
"78","AA",1970,"YBFL",144.647400801748,134.184117224334,149.462861267533,163.599491128275,165.735295950108,163.013353382927,19,4
"79","AA",1970,"YSFL",108.855243296656,10.8781038165176,117.329930111101,156.214221618696,289.226673457551,144.719840005769,5,5
"80","AA",1970,"YWAR",121.765354629885,116.485645268318,122.981020547711,171.254597388543,190.628547877306,165.149735984208,21,12
"81","AA",1971,"ACFL",NA,NA,NA,NA,NA,NA,4,3
"82","AA",1971,"AMGO",98.0513162926637,81.7007466673084,103.805929818281,165.422616090703,167.516124093963,165.002929923517,40,22
"83","AA",1971,"AMKE",NA,NA,NA,NA,NA,NA,2,2
"84","AA",1971,"AMRE",136.649949494558,130.775682661725,137.056648636981,167.113624338852,169.464485098482,166.174352904177,160,25
"85","AA",1971,"AMRO",112.273380774281,107.818114573289,113.904105385345,165.791593063086,168.161536778536,165.01984448773,58,26
"86","AA",1971,"BANS",NA,NA,NA,NA,NA,NA,3,2
"87","AA",1971,"BAOR",130.878580394079,130.779960796689,130.999829459254,164.311353688576,167.504338946704,162.286694071731,130,24
"88","AA",1971,"BAWW",120.961432393069,118.170009610568,121.804035576346,170.07761564577,NA,NA,104,22
"89","AA",1971,"BBCU",NA,NA,NA,NA,NA,NA,3,2
"90","AA",1971,"BBWA",NA,NA,NA,NA,NA,NA,3,2
"91","AA",1971,"BCCH",105.513836919322,103.918013359931,105.99011487998,168.58689425218,176.894736544673,164.55934918739,74,35
"92","AA",1971,"BEKI",NA,NA,NA,NA,NA,NA,1,1
"93","AA",1971,"BGGN",NA,NA,NA,NA,NA,NA,4,2
