"","station","year","species","stage","phenology","DOY"
"1","fitter",1954,"Acer campestre","ffd","1954-05-10",130
"2","fitter",1955,"Acer campestre","ffd","1955-05-11",131
"3","fitter",1956,"Acer campestre","ffd","1956-05-16",137
"4","fitter",1957,"Acer campestre","ffd","1957-05-01",121
"5","fitter",1958,"Acer campestre","ffd","1958-05-08",128
"6","fitter",1959,"Acer campestre","ffd","1959-05-09",129
"7","fitter",1960,"Acer campestre","ffd","1960-05-09",130
"8","fitter",1961,"Acer campestre","ffd","1961-05-09",129
"9","fitter",1962,"Acer campestre","ffd","1962-05-12",132
"10","fitter",1963,"Acer campestre","ffd","1963-05-04",124
"11","fitter",1964,"Acer campestre","ffd","1964-05-09",130
"12","fitter",1965,"Acer campestre","ffd","1965-05-09",129
"13","fitter",1967,"Acer campestre","ffd","1967-05-12",132
"14","fitter",1968,"Acer campestre","ffd","1968-05-03",124
"15","fitter",1969,"Acer campestre","ffd","1969-05-11",131
"16","fitter",1970,"Acer campestre","ffd","1970-05-11",131
"17","fitter",1971,"Acer campestre","ffd","1971-05-13",133
"18","fitter",1972,"Acer campestre","ffd","1972-05-09",130
"19","fitter",1974,"Acer campestre","ffd","1974-05-08",128
"20","fitter",1975,"Acer campestre","ffd","1975-05-15",135
"21","fitter",1976,"Acer campestre","ffd","1976-05-08",129
"22","fitter",1977,"Acer campestre","ffd","1977-05-10",130
"23","fitter",1979,"Acer campestre","ffd","1979-05-20",140
"24","fitter",1980,"Acer campestre","ffd","1980-05-09",130
"25","fitter",1981,"Acer campestre","ffd","1981-05-03",123
"26","fitter",1982,"Acer campestre","ffd","1982-05-04",124
"27","fitter",1983,"Acer campestre","ffd","1983-05-07",127
"28","fitter",1984,"Acer campestre","ffd","1984-05-08",129
"29","fitter",1985,"Acer campestre","ffd","1985-05-12",132
"30","fitter",1986,"Acer campestre","ffd","1986-05-16",136
"31","fitter",1987,"Acer campestre","ffd","1987-05-04",124
"32","fitter",1988,"Acer campestre","ffd","1988-04-30",121
"33","fitter",1989,"Acer campestre","ffd","1989-04-30",120
"34","fitter",1991,"Acer campestre","ffd","1991-05-18",138
"35","fitter",1992,"Acer campestre","ffd","1992-05-01",122
"36","fitter",1993,"Acer campestre","ffd","1993-04-24",114
"37","fitter",1994,"Acer campestre","ffd","1994-04-24",114
"38","fitter",1995,"Acer campestre","ffd","1995-05-01",121
"39","fitter",1996,"Acer campestre","ffd","1996-05-13",134
"40","fitter",1997,"Acer campestre","ffd","1997-04-27",117
"41","fitter",1999,"Acer campestre","ffd","1999-04-08",98
"42","fitter",2000,"Acer campestre","ffd","2000-04-22",113
"43","fitter",1958,"Acer platanoides","ffd","1958-04-28",118
"44","fitter",1960,"Acer platanoides","ffd","1960-04-30",121
"45","fitter",1963,"Acer platanoides","ffd","1963-04-21",111
"46","fitter",1966,"Acer platanoides","ffd","1966-04-02",92
"47","fitter",1967,"Acer platanoides","ffd","1967-03-31",90
"48","fitter",1969,"Acer platanoides","ffd","1969-04-23",113
"49","fitter",1970,"Acer platanoides","ffd","1970-04-24",114
"50","fitter",1971,"Acer platanoides","ffd","1971-04-21",111
"51","fitter",1972,"Acer platanoides","ffd","1972-04-11",102
"52","fitter",1973,"Acer platanoides","ffd","1973-04-08",98
"53","fitter",1974,"Acer platanoides","ffd","1974-04-08",98
"54","fitter",1975,"Acer platanoides","ffd","1975-04-07",97
