"V1","station","year","species","stage","phenology","DOY","lat","lon","dataset","tmax","tmax_dynamic","med_month"
1,"fitter",1954,"Acer campestre","ffd",1954-05-10,130,51.80676,1.206607,"nectar",NA,NA,5
2,"fitter",1955,"Acer campestre","ffd",1955-05-11,131,51.80676,1.206607,"nectar",NA,NA,5
3,"fitter",1956,"Acer campestre","ffd",1956-05-16,137,51.80676,1.206607,"nectar",NA,NA,5
4,"fitter",1957,"Acer campestre","ffd",1957-05-01,121,51.80676,1.206607,"nectar",NA,NA,5
5,"fitter",1958,"Acer campestre","ffd",1958-05-08,128,51.80676,1.206607,"nectar",15.2,TRUE,5
6,"fitter",1959,"Acer campestre","ffd",1959-05-09,129,51.80676,1.206607,"nectar",16.9,TRUE,5
7,"fitter",1960,"Acer campestre","ffd",1960-05-09,130,51.80676,1.206607,"nectar",16.5,TRUE,5
8,"fitter",1961,"Acer campestre","ffd",1961-05-09,129,51.80676,1.206607,"nectar",14.7,TRUE,5
9,"fitter",1962,"Acer campestre","ffd",1962-05-12,132,51.80676,1.206607,"nectar",12.9,TRUE,5
10,"fitter",1963,"Acer campestre","ffd",1963-05-04,124,51.80676,1.206607,"nectar",14,TRUE,5
11,"fitter",1964,"Acer campestre","ffd",1964-05-09,130,51.80676,1.206607,"nectar",17.4,TRUE,5
12,"fitter",1965,"Acer campestre","ffd",1965-05-09,129,51.80676,1.206607,"nectar",14.8,TRUE,5
13,"fitter",1967,"Acer campestre","ffd",1967-05-12,132,51.80676,1.206607,"nectar",14.4,TRUE,5
14,"fitter",1968,"Acer campestre","ffd",1968-05-03,124,51.80676,1.206607,"nectar",13.5,TRUE,5
15,"fitter",1969,"Acer campestre","ffd",1969-05-11,131,51.80676,1.206607,"nectar",15.2,TRUE,5
16,"fitter",1970,"Acer campestre","ffd",1970-05-11,131,51.80676,1.206607,"nectar",16.7,TRUE,5
17,"fitter",1971,"Acer campestre","ffd",1971-05-13,133,51.80676,1.206607,"nectar",16.1,TRUE,5
18,"fitter",1972,"Acer campestre","ffd",1972-05-09,130,51.80676,1.206607,"nectar",14.2,TRUE,5
19,"fitter",1974,"Acer campestre","ffd",1974-05-08,128,51.80676,1.206607,"nectar",15,TRUE,5
20,"fitter",1975,"Acer campestre","ffd",1975-05-15,135,51.80676,1.206607,"nectar",13,TRUE,5
21,"fitter",1976,"Acer campestre","ffd",1976-05-08,129,51.80676,1.206607,"nectar",16.7,TRUE,5
22,"fitter",1977,"Acer campestre","ffd",1977-05-10,130,51.80676,1.206607,"nectar",14,TRUE,5
23,"fitter",1979,"Acer campestre","ffd",1979-05-20,140,51.80676,1.206607,"nectar",14.2,TRUE,5
24,"fitter",1980,"Acer campestre","ffd",1980-05-09,130,51.80676,1.206607,"nectar",14.7,TRUE,5
25,"fitter",1981,"Acer campestre","ffd",1981-05-03,123,51.80676,1.206607,"nectar",15.1,TRUE,5
26,"fitter",1982,"Acer campestre","ffd",1982-05-04,124,51.80676,1.206607,"nectar",16.1,TRUE,5
27,"fitter",1983,"Acer campestre","ffd",1983-05-07,127,51.80676,1.206607,"nectar",13.3,TRUE,5
28,"fitter",1984,"Acer campestre","ffd",1984-05-08,129,51.80676,1.206607,"nectar",12.7,TRUE,5
29,"fitter",1985,"Acer campestre","ffd",1985-05-12,132,51.80676,1.206607,"nectar",14.7,TRUE,5
30,"fitter",1986,"Acer campestre","ffd",1986-05-16,136,51.80676,1.206607,"nectar",15.4,TRUE,5
31,"fitter",1987,"Acer campestre","ffd",1987-05-04,124,51.80676,1.206607,"nectar",13.6,TRUE,5
32,"fitter",1988,"Acer campestre","ffd",1988-04-30,121,51.80676,1.206607,"nectar",16,TRUE,5
33,"fitter",1989,"Acer campestre","ffd",1989-04-30,120,51.80676,1.206607,"nectar",18.3,TRUE,5
34,"fitter",1991,"Acer campestre","ffd",1991-05-18,138,51.80676,1.206607,"nectar",13.6,TRUE,5
35,"fitter",1992,"Acer campestre","ffd",1992-05-01,122,51.80676,1.206607,"nectar",18.7,TRUE,5
36,"fitter",1993,"Acer campestre","ffd",1993-04-24,114,51.80676,1.206607,"nectar",16.1,TRUE,5
37,"fitter",1994,"Acer campestre","ffd",1994-04-24,114,51.80676,1.206607,"nectar",14.2,TRUE,5
38,"fitter",1995,"Acer campestre","ffd",1995-05-01,121,51.80676,1.206607,"nectar",16.7,TRUE,5
