"","species","tax_level","growth_form","height","seed_mass","leaf_area","leaf_area_per_mass"
"1","Cosmos bipinnatus","species","herb",NA,"7.814",NA,NA
"2","Pyrus communis","species","tree","6.67870909090909","32.1818618181818",NA,"7.007047938"
"3","Rhododendron mucronulatum","species",NA,NA,NA,NA,NA
"4","Robinia pseudoacacia","species","tree","16.0907499420488","19.5873364","4186.948","16.4904824366166"
"5","Prunus serrulata","species","tree","3.95","55.72",NA,NA
"6","Acer palmatum","species","tree",NA,"34.0039228235294",NA,"11.1111260925037"
"7","Forsythia koreana","genus","shrub",NA,NA,NA,"18.254"
"8","Prunus persica","species","tree","5.64506666666667","2817.94297711111",NA,NA
"9","Prunus mume","species",NA,NA,"1042",NA,NA
"10","Prunus mume 1","species",NA,NA,"1042",NA,NA
"11","Camellia japonica","species","tree","11","1075",NA,"4.99318320380764"
"12","Taraxacum sp ","genus","herb","0.141810344827586","0.5945226875","2336.43390466","40.5570518749744"
"13","Prunus yedoensis","genus","tree","14.2513023955336","550.676476626667","2612.18926344479","15.0525259293345"
"14","Rhododendron kaempferi","genus","shrub","3.29539130434783","0.160716965517241","2337.94285714286","7.12518730865375"
"15","Wisteria floribunda","species","dependant",NA,"37.8",NA,NA
"16","Lespedeza bicolor","species","shrub",NA,"5.81535782857143","171.41","17.7855958333333"
"17","Hydrangea macrophylla","species","shrub",NA,NA,NA,NA
"18","Lagerstroemia indica","species","shrub",NA,"2.065",NA,NA
"19","Miscanthus sinensis","species","herb",NA,"0.95",NA,NA
"20","Ginkgo biloba","species","tree","9.95248888888889","1310.09744",NA,NA
"21","Prunus armeniaca","species","tree","3.56","1241.69605466667",NA,NA
"22","Prunus lannesiana","genus","tree","14.2513023955336","550.676476626667","2612.18926344479","15.0525259293345"
"23","Lilium lancifolium","species","herb",NA,NA,NA,NA
"24","Diospyros kaki","species","tree",NA,"598.073333333333",NA,"18.7735421052632"
"25","Larix leptolepis","genus","tree","17.9066072162842","18.0767567142857","20.24","14.5770957063121"
"26","Platycodon grandiflorum","genus","herb",NA,NA,NA,NA
"27","Nerium oleander","species","shrub","8.8392","2.34325301204819","2390.66666666667","13.0881718672727"
"28","Gardenia jasminoides","species","shrub",NA,"3.4",NA,NA
"29","Castanea crenata","species","tree",NA,"19938.248099875",NA,"3.0750307503075e-05"
"30","Morus bombycis","genus","tree","11.3620644398204","887.3885971","10508.8888888889","28.36504104"
"31","Alpinia zerumbet","species","herb",NA,NA,NA,NA
"32","Astragalus sinicus","genus","herb","0.276076923076923","5.2889537037037","474.3339196944","28.1775260194242"
"33","Cosmos bipinnatus 1","species","herb",NA,"7.814",NA,NA
"34","Camellia sasanqua","species","shrub",NA,"507.61",NA,NA
"35","Salix babylonica","species","shrub*","30.9372",NA,NA,NA
"36","Zoysia japonica","species","herb",NA,"0.78","1342.53",NA
"37","Paulownia tomentosa","species","tree","13.9488427616927","0.188813714285714",NA,NA
"38","Heracleum dissectum","genus","herb","1.75454545454545","8.61475232142857","207100.196666667","21.8051054"
"39","Fragaria viridis","species","herb","0.0664285714285714",NA,"947.1325","16.8140768145455"
"40","Trollius asiaticus","genus","herb","0.296875","0.973333333333333","5348.33333333333","57.7145126123077"
