"V1","station","year","species","estimate","lower","upper","lat","lon","dataset","tmax","tmax_dynamic","med_month"
5,"RM1",1973,"Taraxacum officinale",164.119997902636,162.696641472132,164.819937521092,38.955942,-106.988305,"rmbl",16.3,16.3,6
6,"RM1",1973,"Viola praemorsa",164.228816574861,163.250930614677,164.95477393776,38.955942,-106.988305,"rmbl",16.3,16.3,6
7,"RM1",1973,"Delphinium nuttallianum",169.612688834994,168.334899470751,169.883446385761,38.955942,-106.988305,"rmbl",16.3,16.3,6
8,"RM1",1973,"Boechera stricta",171.926086125494,171.292987249416,171.999973925115,38.955942,-106.988305,"rmbl",16.3,16.3,6
9,"RM1",1973,"Androsace septentrionalis",172.910032753838,172.090899233213,172.99997969765,38.955942,-106.988305,"rmbl",16.3,16.3,6
10,"RM1",1973,"Lathyrus leucanthus",175.286190390622,174.051193310232,175.898102385641,38.955942,-106.988305,"rmbl",16.3,16.3,6
11,"RM1",1973,"Eriogonum umbellatum",187.3310976969,185.522443313469,187.953749279098,38.955942,-106.988305,"rmbl",16.3,19.9,6
12,"RM1",1973,"Eremogone congesta",190.567629288534,187.902060264323,191.718146419309,38.955942,-106.988305,"rmbl",19.9,19.9,7
13,"RM1",1973,"Potentilla hippiana",189.179341178491,184.607995378741,191.573792323987,38.955942,-106.988305,"rmbl",19.9,19.9,7
15,"RM1",1973,"Ipomopsis aggregata",199.364333503387,187.063847677373,203.486490250563,38.955942,-106.988305,"rmbl",19.9,19.9,7
16,"RM1",1973,"Heterotheca villosa",204.986617143449,201.886713495442,205.589536610288,38.955942,-106.988305,"rmbl",19.9,19.9,7
17,"RM1",1973,"Erigeron speciosus",207.807389330073,207.006174118861,207.99629345444,38.955942,-106.988305,"rmbl",19.9,19.9,7
18,"RM1",1973,"Polygonum douglasii",208.181376436234,193.379035592172,211.323944403917,38.955942,-106.988305,"rmbl",19.9,19.9,7
20,"RM2",1973,"Mahonia repens",158.617341133529,156.302944102169,158.995770200614,38.955942,-106.988305,"rmbl",16.3,16.3,6
22,"RM2",1973,"Delphinium nuttallianum",161.338587180117,160.560531799354,162.797444669874,38.955942,-106.988305,"rmbl",16.3,16.3,6
