"site","records","dataset","lat","lon","seasonality","mean_temp"
"k_100",9,"korea",37.68333333,128.75,25.3950819672131,13.9871584699454
"k_101",23,"korea",37.9,127.7333333,29.0114754098361,16.7382513661202
"k_105",20,"korea",37.75,128.8833333,24.9573770491803,16.6295081967213
"k_106",22,"korea",37.5,129.1166667,24.2262295081967,17.3505464480874
"k_108",20,"korea",37.56666667,126.95,28.0426229508197,16.9178961748634
"k_112",20,"korea",37.46666667,126.6166667,27.6524590163934,16.4266393442623
"k_114",23,"korea",37.33333333,127.9333333,28.6049180327869,16.9907103825137
"k_115",16,"korea",37.46666667,130.8833333,23.4803278688525,15.2489071038251
"k_119",21,"korea",37.26666667,126.9833333,28.4229508196721,16.6653005464481
"k_121",24,"korea",37.16666667,128.45,28.0590163934426,16.4248633879781
"k_127",25,"korea",36.96666667,127.95,28.2459016393443,17.5401639344262
"k_129",24,"korea",36.76666667,126.4833333,27.4622950819672,16.849043715847
"k_130",24,"korea",36.98333333,129.4,23.2016393442623,17.7396174863388
"k_131",23,"korea",36.63333333,127.4333333,28.5918032786885,17.6653005464481
"k_133",20,"korea",36.36666667,127.3666667,27.4393442622951,18.057650273224
"k_135",23,"korea",36.21666667,127.9833333,27.0573770491803,16.6898907103825
"k_136",23,"korea",36.56666667,128.7,27.3934426229508,17.7568306010929
"k_138",23,"korea",36.01666667,129.3666667,24.4114754098361,18.1389344262295
"k_140",22,"korea",36,126.75,26.4836065573771,17.4381147540984
"k_143",20,"korea",35.88333333,128.6166667,26.3180327868852,19.0263661202186
"k_146",24,"korea",35.81666667,127.15,27.0688524590164,18.2341530054645
"k_152",23,"korea",35.55,129.3166667,24.1409836065574,18.4004098360656
"k_155",23,"korea",35.16666667,128.5666667,23.744262295082,18.5770491803279
"k_156",21,"korea",35.16666667,126.8833333,26.6065573770492,18.3516393442623
"k_159",20,"korea",35.1,129.0166667,22.7393442622951,18.3094262295082
"k_162",22,"korea",34.83333333,128.4333333,22.2868852459016,18.1392076502732
"k_165",20,"korea",34.81666667,126.3666667,24.1229508196721,18.1894808743169
"k_168",22,"korea",34.73333333,127.7333333,23.5393442622951,18.2840163934426
"k_169",16,"korea",34.68333333,125.45,22.3049180327869,16.8957650273224
"k_170",25,"korea",34.38333333,126.7,23.7852459016393,17.767349726776
"k_184",20,"korea",33.5,126.5166667,23.0590163934426,18.0822404371585
"k_189",20,"korea",33.23333333,126.55,20.5491803278689,19.5299180327869
"k_192",22,"korea",35.15,128.0333333,24.8245901639344,18.6674863387978
"k_201",24,"korea",37.7,126.4333333,27.5950819672131,15.8859289617486
"k_202",22,"korea",37.48333333,127.4833333,28.6032786885246,17.0032786885246
"k_203",21,"korea",37.25,127.4833333,29.1262295081967,17.032650273224
"k_211",23,"korea",38.04998,128.1666,27.6,14.9515027322404
"k_212",24,"korea",37.68306,127.86632,28.4360655737705,16.6534153005465
"k_216",23,"korea",37.1666,128.98294,26.3295081967213,13.7644808743169
"k_221",24,"korea",37.13328,128.01666,28.0426229508197,16.2741803278689
"k_226",23,"korea",36.48314,127.73304,27.5213114754098,17.4680327868852
"k_232",23,"korea",36.76636,127.11662,28.6409836065574,17.5598360655738
"k_235",23,"korea",36.31654,126.54978,25.9901639344262,17.501912568306
"k_236",25,"korea",36.26656,126.9163,27.6180327868852,18.2603825136612
"k_238",25,"korea",36.09996,127.46648,27.5590163934426,17.5431693989071
"k_243",25,"korea",35.71638,126.69972,26.4786885245902,17.6870218579235
"k_244",24,"korea",35.59976,127.28322,26.6786885245902,17.5255464480874
"k_245",24,"korea",35.54978,126.84966,26.8426229508197,18.0323770491803
"k_247",24,"korea",35.39984,127.31654,27.0131147540984,18.507650273224
"k_248",24,"korea",35.64974,127.51646,26.7639344262295,16.5454918032787
"k_256",23,"korea",35.06664,127.23324,25.6245901639344,17.854781420765
"k_260",24,"korea",34.68306,126.9163,25.3016393442623,18.6810109289618
"k_261",24,"korea",34.54978,126.56644,24.9918032786885,18.4550546448087
"k_262",23,"korea",34.61642,127.76636,22.6704918032787,17.7270491803279
"k_265",22,"korea",33.38318,126.86632,21.7049180327869,18.8430327868852
"k_271",24,"korea",36.93296,128.89964,27.0426229508197,15.6129781420765
"k_272",22,"korea",36.86632,128.51646,27.7540983606557,16.8006830601093
"k_273",24,"korea",36.61642,128.13328,27.5819672131148,17.2823770491803
"k_277",23,"korea",36.51646,129.39984,23.8360655737705,18.2866120218579
"k_278",22,"korea",36.34986,128.68306,26.516393442623,18.4687158469945
"k_279",24,"korea",36.11662,128.31654,26.6262295081967,17.2812841530055
"k_281",22,"korea",35.96628,128.94962,26.1524590163934,18.1715846994536
"k_284",22,"korea",35.6664,127.89964,26.0213114754098,17.523087431694
"k_285",25,"korea",35.54978,128.6664,24.8196721311475,17.903825136612
"k_288",25,"korea",35.48314,128.73304,24.6032786885246,18.6974043715847
"k_289",23,"korea",35.39984,127.86632,25.1229508196721,17.2207650273224
"k_294",20,"korea",34.88298,128.59976,24.0622950819672,18.0840163934426
"k_295",24,"korea",34.79968,127.9163,24.2672131147541,17.4613387978142
"j_423",9,"japan",42.31166667,140.975,24.4672131147541,11.7860655737705
"j_428",7,"japan",41.865184,140.130728,24.7590163934426,12.8188524590164
"j_430",17,"japan",41.815,140.7533333,24.7344262295082,13.2218579234973
"j_581",19,"japan",40.52666667,141.5216667,24.6081967213115,14.3069672131148
"j_582",23,"japan",39.71666667,140.0983333,26.2360655737705,15.3445355191257
"j_584",19,"japan",39.69833333,141.165,26.9737704918033,15.0408469945355
"j_585",25,"japan",39.64666667,141.965,21.9934426229508,15.0337431693989
"j_587",22,"japan",38.90833333,139.8433333,25.9475409836066,16.3431693989071
"j_588",25,"japan",38.255,140.345,27.5770491803279,16.3001366120219
"j_595",27,"japan",37.75833333,140.47,24.8786885245902,17.2428961748634
"j_598",23,"japan",36.94666667,140.9033333,19.9065573770492,17.6445355191257
"j_600",25,"japan",37.39166667,136.895,24.4803278688525,17.0882513661202
