"species","timeseries","observations","datasets","tax_group","year_shift","temp_shift","pheno_position"
"Hirundo rustica",89,3031,"korea","bird",0.164193216690493,-0.0420892314293177,-13.0923768474538
"Hirundo rustica",89,3031,"ussr","bird",0.164193216690493,-0.0420892314293177,-13.0923768474538
"Cuculus canorus",67,1985,"korea","bird",0.0573446020234908,-0.258369591202138,5.514699917768
"Cuculus canorus",67,1985,"ussr","bird",0.0573446020234908,-0.258369591202138,5.514699917768
"Orthetrum albistylum",39,1079,"korea","insect",0.21613462517449,0.640496615904816,37.1381111021341
"Rhododendron mucronulatum",137,4503,"korea","plant",-0.125407561256192,-2.80944932481916,-15.4280721427003
"Rhododendron mucronulatum",137,4503,"ussr","plant",-0.125407561256192,-2.80944932481916,-15.4280721427003
"Prunus serrulata",136,4657,"korea","plant",-0.174312354362734,-2.53556971007139,-9.50380673462688
"Forsythia koreana",136,4650,"korea","plant",-0.0839964491943917,-2.67666448716699,-17.7566641858787
"Cosmos bipinnatus",102,2663,"korea","plant",-0.194709789265199,-0.947343397765303,74.2916396083671
"Pieris rapae",67,2334,"korea","insect",0.204429946239172,-1.69865432059961,-38.208862910742
"Oncotympana fuscata",65,2143,"korea","insect",-0.237950757134184,-1.16752880910105,65.7794707598095
"Rana nigromaculata",59,1913,"korea","herptile",0.0618797292759122,-0.533819687330751,-24.3774168419979
"Prunus persica",133,4416,"korea","plant",-0.119118170756049,-2.54264232642782,-6.59463111917205
"Pyrus communis",217,5591,"korea","plant",-0.296187413002305,-2.33850476420417,-3.21636487954674
"Pyrus communis",217,5591,"ussr","plant",-0.296187413002305,-2.33850476420417,-3.21636487954674
"Pyrus communis",217,5591,"pep","plant",-0.296187413002305,-2.33850476420417,-3.21636487954674
"Prunus mume",127,3836,"korea","plant",-0.480191290727198,-4.06608627466382,-21.4481243103829
"Robinia pseudoacacia",230,8295,"korea","plant",-0.123676186531764,-1.75734374543165,23.5708479129902
"Robinia pseudoacacia",230,8295,"ussr","plant",-0.123676186531764,-1.75734374543165,23.5708479129902
"Robinia pseudoacacia",230,8295,"pep","plant",-0.123676186531764,-1.75734374543165,23.5708479129902
"Alauda arvensis",50,1341,"korea","bird",0.484334638097063,0.88784216507789,-26.5408302857901
"Alauda arvensis",50,1341,"ussr","bird",0.484334638097063,0.88784216507789,-26.5408302857901
"Elaphe rufodorsata",50,1407,"korea","herptile",0.0547953043013673,-0.481215356095275,-15.3726182171796
"beach",17,286,"korea","plant",-0.114215824155089,-0.0360861336766053,75.5129013805544
"Acer palmatum",20,378,"korea","plant",-0.00208448522991787,-0.0726254145714341,146.047126481672
"Prunus_mume",62,3077,"japan","plant",-0.128162380961502,-4.30489834378173,-83.8830191447847
"Camellia_japonica",24,1025,"japan","plant",-0.0119648780493293,-3.1436659093353,-46.3142340559841
"Taraxacum",74,3609,"japan","plant",-0.125815650907173,-3.0909029298982,-54.4611191890874
"Prunus_yedoensis",93,4704,"japan","plant",-0.10010850996362,-2.54230257617267,-50.3801698097718
"Rhododendron_kaempferi",86,3427,"japan","plant",0.074628501290443,-1.8052032480277,-29.5142070864586
"Wisteria_floribunda",74,3384,"japan","plant",-0.115753020936253,-2.28328243293484,-27.9716467070438
"Lespedeza_bicolor",50,2175,"japan","plant",-0.297909392339009,-0.224288632067571,78.6428508092967
"Hydrangea_macrophylla",86,4115,"japan","plant",0.19850935450174,0.00383163345750976,26.3827287815529
"Lagerstroemia_indica",80,3165,"japan","plant",-0.0780399765713558,-1.95511245200252,63.5279362463604
"Miscanthus_sinensis",80,3448,"japan","plant",0.0589240133995798,1.11612655281207,107.735080568764
"Ginkgo_biloba",79,3288,"japan","plant",-0.117783378992508,-1.98741409232299,3.22367709826391
"Alauda_arvensis",65,2710,"japan","bird",0.0342225335869687,-1.79574894814651,-60.4037824051191
"Cettia_diphone",82,3680,"japan","bird",-0.01858902715535,-2.143045200612,-56.4363721511202
"Hirundo_rustica",82,3998,"japan","bird",-0.023991768109712,-1.46968742851098,-41.7002681667736
"Pieris_rapae_crucivora",86,4272,"japan","insect",0.152987301976967,-2.18630266570215,-41.3009303360607
"Papilio_machaon_hippocrates",69,2837,"japan","insect",0.152253366974166,-1.50218468895934,-16.568636711046
"Rana_nigromaculata",32,1157,"japan","herptile",0.388606267924734,0.112019124828448,-24.2176253895152
"Orthetrum_albistylum_speciosum",57,2265,"japan","insect",0.421159234972059,0.54304076676845,13.3130162532276
"Luciola_sp",53,2253,"japan","insect",-0.00666318711178246,-1.57065393842289,23.6545155456574
