"species","kingdom","phylum","class","order"
"Pieris rapae","Animalia","Arthropoda","Insecta","Lepidoptera"
"Hirundo rustica","Animalia","Chordata","Aves","Passeriformes"
"Oncotympana fuscata","Animalia","Arthropoda","Insecta","Hemiptera"
"Cuculus canorus","Animalia","Chordata","Aves","Cuculiformes"
"Cosmos bipinnatus","Plantae",NA,"Magnoliopsida","Asterales"
"Pelophylax nigromaculatus","Animalia","Chordata","Amphibia","Anura"
"Pyrus communis","Plantae",NA,"Magnoliopsida","Rosales"
"Alauda arvensis","Animalia","Chordata","Aves","Passeriformes"
"Orthetrum albistylum","Animalia","Arthropoda","Insecta","Odonata"
"Oocatochus rufodorsatus","Animalia","Chordata","Reptilia","Squamata"
"Rhododendron mucronulatum","Plantae","Streptophyta","Magnoliopsida","Ericales"
"Robinia pseudoacacia","Plantae",NA,"Magnoliopsida","Fabales"
"Prunus serrulata","Plantae",NA,"Magnoliopsida","Rosales"
"Acer palmatum","Plantae",NA,"Magnoliopsida","Sapindales"
"Forsythia koreana","Plantae","Streptophyta","Magnoliopsida","Lamiales"
"Prunus persica","Plantae",NA,"Magnoliopsida","Rosales"
"Prunus mume","Plantae",NA,"Magnoliopsida","Rosales"
"beach sp.",NA,NA,NA,NA
"Prunus mume","Plantae",NA,"Magnoliopsida","Rosales"
"Camellia japonica","Plantae",NA,"Magnoliopsida","Ericales"
"Taraxacum sp.","Plantae","Streptophyta","Magnoliopsida","Asterales"
"Prunus yedoensis","Plantae",NA,"Magnoliopsida","Rosales"
"Rhododendron kaempferi","Plantae",NA,"Magnoliopsida","Ericales"
"Wisteria floribunda","Plantae",NA,"Magnoliopsida","Fabales"
"Lespedeza bicolor","Plantae",NA,"Magnoliopsida","Fabales"
"Hydrangea macrophylla","Plantae",NA,"Magnoliopsida","Cornales"
"Lagerstroemia indica","Plantae",NA,"Magnoliopsida","Myrtales"
"Miscanthus sinensis","Plantae",NA,"Magnoliopsida","Poales"
